"filename", "language", "YAML", "JSON", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "HTML", "MS SQL", "Prisma", "Docker", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\user\dto\register-user.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\user\user.module.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\user\user.service.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 123
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\utils\log.utils.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\utils\passwordEncrypt.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\vector-store\vector-store.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\src\vector-store\vector-store.service.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 19, 185
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\.lintstagedrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\ai-prompts.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
