"filename", "language", "JSON", "JavaScript", "YAML", "XML", "TypeScript", "JSON with Comments", "Docker", "Markdown", "Prisma", "MS SQL", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\prompt\prompt.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\prompt\prompt.service.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 77
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\rag\Rag.controller.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\rag\Rag.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\rag\Rag.service.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 103
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\redis\redis.module.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\redis\redis.service.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 43
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\session\session-pool.controller.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 36, 9, 106
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\session\session-pool.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\session\session-pool.service.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 23, 19, 131
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\sse\LLMCache.service.ts", "TypeScript", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 29, 38, 251
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\sse\entities\llm-chat.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 28
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\sse\sse.controller.ts", "TypeScript", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 28, 10, 184
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\sse\sse.module.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\sse\sse.service.ts", "TypeScript", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 89, 28, 307
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\task-queue\task-queue.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
